chip_filename,lat,lon,salar,ssi_delta,gaia_prob,severidad
-27.0797_-68.9072.npy,-27.079748,-68.907217,salar_maricunga,0.1421,0.0764,media
-27.0893_-68.9103.npy,-27.089312,-68.910289,salar_maricunga,0.1726,0.0846,media
-27.0345_-68.9107.npy,-27.034542,-68.910701,salar_maricunga,0.1752,0.1696,media
-27.0600_-68.9140.npy,-27.059978,-68.914013,salar_maricunga,0.1795,0.1154,media
-27.0828_-68.9128.npy,-27.082794,-68.912759,salar_maricunga,0.1744,0.0814,media
-27.0904_-68.9147.npy,-27.090449,-68.914703,salar_maricunga,0.2012,0.1015,alta
-27.0328_-68.9294.npy,-27.03281,-68.929387,salar_maricunga,0.1831,0.0937,media
-27.0667_-68.9171.npy,-27.066739,-68.917089,salar_maricunga,0.1681,0.1398,media
-27.0390_-68.9154.npy,-27.039011,-68.915426,salar_maricunga,0.1889,0.1617,media
-26.9722_-68.9440.npy,-26.972204,-68.944046,salar_maricunga,0.1677,0.1829,media
-26.8146_-69.0017.npy,-26.814586,-69.001657,salar_maricunga,0.1734,0.0833,media
-27.0258_-68.9282.npy,-27.025847,-68.928209,salar_maricunga,0.1627,0.0932,media
-26.8024_-69.0224.npy,-26.802418,-69.022359,salar_maricunga,0.1836,0.105,media
-26.8028_-69.0303.npy,-26.802793,-69.030279,salar_maricunga,0.1627,0.1025,media
-26.9216_-69.0791.npy,-26.921631,-69.079094,salar_maricunga,0.1555,0.2275,media
-26.9366_-69.0795.npy,-26.936551,-69.079512,salar_maricunga,0.1524,0.5782,media
-26.9074_-69.0898.npy,-26.907396,-69.089841,salar_maricunga,0.179,0.0996,media
-26.8824_-69.0913.npy,-26.882439,-69.091348,salar_maricunga,0.1998,0.1476,media
-26.9321_-69.0984.npy,-26.932149,-69.098435,salar_maricunga,0.224,0.8178,alta
-26.9153_-69.1003.npy,-26.915329,-69.100309,salar_maricunga,0.169,0.3255,media
-26.9111_-69.0993.npy,-26.911109,-69.099289,salar_maricunga,0.1818,0.2056,media
-26.9490_-69.1040.npy,-26.949036,-69.104035,salar_maricunga,0.2385,0.8448,alta
-26.9690_-69.1073.npy,-26.96904,-69.107328,salar_maricunga,0.1648,0.1508,media
-26.9516_-69.1079.npy,-26.951577,-69.107892,salar_maricunga,0.1758,0.7857,alta
-26.9373_-69.1079.npy,-26.937287,-69.107875,salar_maricunga,0.1793,0.837,alta
-26.8834_-69.1092.npy,-26.88342,-69.109231,salar_maricunga,0.1626,0.1895,media
-26.9326_-69.1107.npy,-26.932597,-69.11065,salar_maricunga,0.2102,0.8178,alta
-26.9216_-69.1139.npy,-26.921563,-69.113949,salar_maricunga,0.1908,0.3683,media
-26.9344_-69.1176.npy,-26.934439,-69.11764,salar_maricunga,0.2314,0.4645,alta
-26.9672_-69.1153.npy,-26.967165,-69.115318,salar_maricunga,0.1658,0.2046,media
-26.9621_-69.1200.npy,-26.962083,-69.11998,salar_maricunga,0.2062,0.4709,alta
-26.9360_-69.1244.npy,-26.936038,-69.12444,salar_maricunga,0.1628,0.5738,media
