ID,NOMBRE_INSTALACION,REGION,COMUNA,ESTADO_INSTALACION,LATITUD,LONGITUD,DIST_RIO_M,DIST_ZONA_HAB_50P_KM2_M,RIO_1KM,RIO_5KM,HAB_1KM,HAB_5KM
0560-4N,EMBALSE DE RELAVES ILLAPEL,Coquimbo,Illapel,ACTIVO,-31.5904197265117,-71.1171421153972,175.9,424.4,1,1,1,1
0561-4N,LOS CRISTALES DIVISADERO 1-2,Coquimbo,Punitaqui,ABANDONADO,-30.8589583118762,-71.1480658250346,14.3,7086.7,1,1,0,0
0562-4N,ILLAPEL ,Coquimbo,Illapel,INACTIVO,-31.4206733572947,-71.083339303593,198.1,18523.6,1,1,0,0
0563-4N,EMBALSE DE RELAVE,Coquimbo,La Higuera,ACTIVO,-29.3326450601845,-71.1469206735992,882.6,10503.2,1,1,0,0
0564-4N,MIRANDA,Coquimbo,Andacollo,INACTIVO,-30.2535039416594,-71.0789776375082,1019.8,182.7,0,1,1,1
0565-4N,EMBALSE MIRANDA,Coquimbo,Andacollo,INACTIVO,-30.2526302132542,-71.0788729400617,1029.9,262.0,0,1,1,1
0566-4N,PEJERREYES,Coquimbo,Ovalle,ABANDONADO,-30.3991743855485,-71.2539113461036,2244.0,9401.6,0,1,0,0
0567-4N,TRANQUE DE RELAVE 1,Coquimbo,Andacollo,ABANDONADO,-30.227330791314,-71.0589997628609,488.1,1282.8,1,1,0,1
0568-4N,TRANQUE DE RELAVE 2,Coquimbo,Andacollo,ABANDONADO,-30.228639530225,-71.058880699312,606.2,1274.1,1,1,0,1
0569-4N,DEPOSITO DE RELAVES ARQUEROS,Coquimbo,Vicuña,EN CONSTRUCCION,-29.8144453247831,-70.8791904087616,1410.8,17516.2,0,1,0,0
