ProcesoSancionId;Expediente;ProcesoSancionTipoNombre;ProcesoSancionEstado;FechaInicio;FechaTermino;ConfirmaPdC;MultaTotalUTA;LinkSNIFA;UnidadFiscalizableId;Nombre;RegionNombre;ComunaNombre;Latitud;Longitud;CategoriaEconomicaNombre;SubCategoriaEconomicaNombre;LinkSNIFA_UF;FechaActualizacion
1275;D-055-2015;Denuncia;Terminado - Sanción;30-09-2015;20-06-2016;No;118.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1275                          ;3898;CENTRAL DE PASADA CARILAFQUEN-MALALCAHUELLO;Región de la Araucanía;Melipeuco;-38.8917427572743;-71.5034575154255;Energía;Central hidroeléctrica de pasada;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/3898                          ;20-05-26
1276;F-024-2015;Fiscalización;Terminado - PDC Satisfactorio;06-10-2015;21-01-2021;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1276                          ;10145;CES WILLIAMS (RNA 110553);Región de Aysén del General Carlos Ibáñez del Campo;Cisnes;-45.7306666666667;-74.5554138888889;Pesca y Acuicultura;Centro de engorda de salmones;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/10145                         ;20-05-26
1277;D-056-2015;Denuncia;Terminado - PDC Satisfactorio;07-10-2015;26-03-2019;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1277                          ;13272;AGRICOLA FUNDO VITAHUE;Región de Valparaíso;La Ligua;-32.426478;-70.889945;Agroindustrias;Producción agrícola / cultivos;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13272                         ;20-05-26
1278;D-054-2015;Denuncia;Terminado - PDC Satisfactorio;29-09-2015;24-07-2023;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1278                          ;13135;CHIPIADORA CORRAL;Región de Los Ríos;Corral;-39.8765;-73.4266;Forestal;Planta de astillado;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13135                         ;20-05-26
1279;D-057-2015;Denuncia;Terminado - Sanción;14-10-2015;12-02-2016;No;3.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1279                          ;11580;IGLESIA GENERAL ARRIAGADA;Región Metropolitana;La Pintana;-33.56204;-70.619315;Equipamiento;Centro de culto religioso / espiritual;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11580                         ;20-05-26
1280;D-058-2015;Denuncia;Terminado - PDC Satisfactorio;14-10-2015;17-07-2019;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1280                          ;13274;METALMECANICA FAVI Y CIA. LTDA;Región Metropolitana;Conchalí;-33.3883894622066;-70.6746397174318;Instalación fabril;Planta metalúrgica;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13274                         ;20-05-26
1281;F-026-2015;Fiscalización;Terminado - PDC Satisfactorio;16-10-2015;19-03-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1281                          ;2906;TALLER DE REDES RDA;Región de Aysén del General Carlos Ibáñez del Campo;Aysén;-45.389348;-72.693885;Pesca y Acuicultura;Centro de redes;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2906                          ;20-05-26
1281;F-026-2015;Fiscalización;Terminado - PDC Satisfactorio;16-10-2015;19-03-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1281                          ;9318;REDES AYSEN;Región de Aysén del General Carlos Ibáñez del Campo;Aysén;-45.390866;-72.697471;Pesca y Acuicultura;Centro de redes;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/9318                          ;20-05-26
1282;F-028-2015;Fiscalización;Terminado - PDC Satisfactorio;19-10-2015;14-12-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1282                          ;2609;DOS AMIGOS;Región de Atacama;Vallenar;-28.9823669812844;-70.8936676383018;Minería;Minera metálica;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2609                          ;20-05-26
1283;D-059-2015;Denuncia;En curso;20-10-2015;27-01-2016;No;6.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1283                          ;13104;CASA DE LA MÚSICA (EX-DISCOTECA LAS DIVAS);Región del Biobío;Concepción;-36.814467;-73.057525;Equipamiento;Discoteca / pub;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13104                         ;20-05-26
1284;F-029-2015;Fiscalización;Programa de Cumplimiento en ejecución;22-10-2015;;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1284                          ;11500;PLANTA AGROINDUSTRIALSANTIAGO AGRISUPPLY S.P.A.;Región Metropolitana;Talagante;-33.67738521;-70.92285547;Agroindustrias;Planta procesadora de productos agrícolas;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11500                         ;20-05-26
1285;D-060-2015;Denuncia;Terminado - PDC Satisfactorio;21-10-2015;03-06-2019;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1285                          ;13291;CENTRO RELIGIOSOPASAJE LA TOMA 10072;Región Metropolitana;Peñalolén;-33.4815295;-70.5289296;Equipamiento;Centro de culto religioso / espiritual;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13291                         ;20-05-26
1286;F-027-2015;Fiscalización;Terminado - Sanción;26-10-2015;16-09-2016;No;250.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1286                          ;2419;EMBALSE ANCOA MOP;Región del Maule;Colbún;-35.8519;-71.188;Infraestructura Hidráulica;Embalse / presa / tranque;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2419                          ;20-05-26
1287;F-030-2015;Fiscalización;Terminado - PDC Satisfactorio;27-10-2015;16-01-2019;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1287                          ;2424;RELLENO SANITARIO EL RETAMO;Región del Maule;Talca;-35.3303;-71.6447;Saneamiento Ambiental;Relleno sanitario;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2424                          ;20-05-26
1288;D-061-2015;Denuncia;Terminado - Sanción;28-10-2015;07-07-2016;No;1.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1288                          ;11550;SCHOPERIA DOLAR;Región de Arica y Parinacota;Arica;-18.4768;-70.3189;Equipamiento;Discoteca / pub;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11550                         ;20-05-26
1289;D-062-2015;Denuncia;Terminado - PDC Satisfactorio;04-11-2015;03-10-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1289                          ;1840;PLANTEL DE AVES DE LEYDA;Región de Valparaíso;San Antonio;-33.6096733970079;-71.431107;Agroindustrias;Plantel de aves;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/1840                          ;20-05-26
1290;F-031-2015;Fiscalización;Terminado - PDC Satisfactorio;11-11-2015;17-05-2018;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1290                          ;3010;AGRICOLA SANTA TERESA S.A. - ISLA DE MAIPO;Región Metropolitana;Isla de Maipo;-33.720253277047;-70.8673506111145;Agroindustrias;Vinificación / producción de alcohol;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/3010                          ;20-05-26
1294;F-032-2015;Fiscalización;Terminado - Archivado;11-11-2015;22-12-2022;No;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1294                          ;8365;PISCICULTURA ÑILQUE;Región de los Lagos;Puyehue;-40.724;-72.4339;Pesca y Acuicultura;Centro de cultivo de peces;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/8365                          ;20-05-26
1295;F-033-2015;Fiscalización;Terminado - Sanción;11-11-2015;29-07-2016;No;21.0;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1295                          ;8335;PISCICULTURA LAS QUEMAS;Región de los Lagos;Osorno;-40.6937638888889;-73.0935555555556;Pesca y Acuicultura;Centro de cultivo de peces;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/8335                          ;20-05-26
1296;F-034-2015;Fiscalización;Terminado - PDC Satisfactorio;11-11-2015;13-08-2019;Sí;;https://snifa.sma.gob.cl/Sancionatorio/Ficha/1296                          ;11403;PISCICULTURA MELIPEUCO - INVERMAR;Región de la Araucanía;Melipeuco;-38.8424138888889;-71.6846944444444;Pesca y Acuicultura;Centro de cultivo de peces;http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11403                         ;20-05-26
